Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Yawrate,Length (m),Width (m),Vehicle Number,Agent_Type,Vx,Vy,Ax,Ay,V_lon,V_lat,A_lon,A_lat,2_Position X (m),2_Position Y (m),2_Velocity (m/s),2_Heading,2_Yawrate,2_Length (m),2_Width (m),2_Vehicle Number,2_Agent_Type,2_Vx,2_Vy,2_Ax,2_Ay,2_V_lon,2_V_lat,2_A_lon,2_A_lat
813.12,130.24,-42.807,6.372,-1.717,-0.0067,4.692,1.843,266,car,-0.883,-6.311,0.25,1.748,6.372,-0.045,-1.766,0.007,160.103,-46.273,15.079,-2.783,0.0265,4.655,1.959,267,car,-14.186,-5.113,-0.08,-0.4,15.078,0.186,0.215,-0.346
813.16,130.207,-43.058,6.298,-1.718,-0.0059,4.692,1.843,266,car,-0.874,-6.237,0.249,1.77,6.298,-0.048,-1.787,0.013,159.535,-46.478,15.087,-2.782,0.0276,4.655,1.959,267,car,-14.189,-5.129,-0.078,-0.411,15.086,0.193,0.218,-0.357
813.2,130.174,-43.305,6.223,-1.718,-0.0048,4.692,1.843,266,car,-0.866,-6.162,0.249,1.789,6.223,-0.049,-1.806,0.016,158.967,-46.684,15.095,-2.78,0.0284,4.655,1.959,267,car,-14.191,-5.145,-0.077,-0.422,15.094,0.204,0.221,-0.367
813.24,130.139,-43.55,6.148,-1.719,-0.0036,4.692,1.843,266,car,-0.857,-6.087,0.251,1.803,6.147,-0.05,-1.821,0.018,158.399,-46.89,15.103,-2.779,0.029,4.655,1.959,267,car,-14.194,-5.162,-0.077,-0.434,15.102,0.215,0.226,-0.378
813.28,130.105,-43.79,6.072,-1.719,-0.0023,4.692,1.843,266,car,-0.849,-6.012,0.254,1.815,6.072,-0.05,-1.833,0.017,157.831,-47.096,15.111,-2.777,0.0292,4.655,1.959,267,car,-14.196,-5.179,-0.077,-0.445,15.11,0.224,0.231,-0.388
813.32,130.07,-44.026,5.997,-1.719,0,4.692,1.843,266,car,-0.839,-5.938,0.259,1.825,5.997,-0.05,-1.843,0.014,157.264,-47.303,15.12,-2.776,0.0293,4.655,1.959,267,car,-14.199,-5.197,-0.078,-0.457,15.119,0.229,0.236,-0.398
813.36,130.035,-44.26,5.923,-1.719,0,4.692,1.843,266,car,-0.829,-5.865,0.264,1.833,5.923,-0.045,-1.852,0.01,156.697,-47.511,15.13,-2.774,0.0292,4.655,1.959,267,car,-14.202,-5.216,-0.079,-0.468,15.128,0.232,0.242,-0.408
813.4,130.001,-44.492,5.849,-1.717,0,4.692,1.843,266,car,-0.818,-5.791,0.268,1.841,5.849,-0.036,-1.861,0.003,156.129,-47.72,15.139,-2.773,0.0289,4.655,1.959,267,car,-14.205,-5.235,-0.08,-0.478,15.137,0.231,0.247,-0.417
813.44,129.965,-44.723,5.774,-1.716,0,4.692,1.843,266,car,-0.806,-5.717,0.273,1.849,5.774,-0.033,-1.869,-0.001,155.561,-47.929,15.149,-2.772,0.0288,4.655,1.959,267,car,-14.209,-5.255,-0.081,-0.488,15.148,0.226,0.252,-0.426
813.48,129.928,-44.953,5.697,-1.716,0,4.692,1.843,266,car,-0.792,-5.642,0.274,1.856,5.697,-0.034,-1.876,-0.003,154.993,-48.14,15.16,-2.772,0.0287,4.655,1.959,267,car,-14.212,-5.275,-0.082,-0.497,15.158,0.22,0.256,-0.434
813.52,129.894,-45.178,5.619,-1.716,0,4.692,1.843,266,car,-0.776,-5.565,0.272,1.861,5.619,-0.037,-1.881,0,154.424,-48.351,15.17,-2.771,0.0288,4.655,1.959,267,car,-14.216,-5.296,-0.082,-0.506,15.169,0.216,0.26,-0.442
813.56,129.86,-45.401,5.541,-1.716,0,4.692,1.843,266,car,-0.759,-5.488,0.264,1.864,5.54,-0.041,-1.882,0.008,153.855,-48.563,15.181,-2.77,0.029,4.655,1.959,267,car,-14.219,-5.316,-0.082,-0.514,15.179,0.214,0.263,-0.449
813.6,129.829,-45.621,5.461,-1.716,-0.0021,4.692,1.843,266,car,-0.743,-5.41,0.25,1.864,5.461,-0.046,-1.88,0.021,153.287,-48.776,15.192,-2.768,0.0292,4.655,1.959,267,car,-14.223,-5.338,-0.082,-0.521,15.19,0.214,0.266,-0.455
813.64,129.799,-45.837,5.381,-1.716,-0.0031,4.692,1.843,266,car,-0.726,-5.332,0.23,1.86,5.381,-0.051,-1.873,0.041,152.719,-48.99,15.203,-2.767,0.0294,4.655,1.959,267,car,-14.227,-5.36,-0.081,-0.527,15.202,0.212,0.268,-0.461
813.68,129.771,-46.05,5.301,-1.716,-0.0044,4.692,1.843,266,car,-0.711,-5.253,0.204,1.852,5.301,-0.056,-1.862,0.066,152.151,-49.204,15.215,-2.766,0.0297,4.655,1.959,267,car,-14.232,-5.382,-0.079,-0.532,15.214,0.212,0.269,-0.466
813.72,129.744,-46.26,5.221,-1.716,-0.0057,4.692,1.843,266,car,-0.697,-5.174,0.171,1.839,5.221,-0.06,-1.845,0.097,151.583,-49.42,15.228,-2.765,0.0299,4.655,1.959,267,car,-14.237,-5.404,-0.076,-0.537,15.226,0.212,0.268,-0.471
813.76,129.719,-46.467,5.141,-1.716,-0.0071,4.692,1.843,266,car,-0.686,-5.095,0.134,1.821,5.141,-0.062,-1.821,0.132,151.013,-49.637,15.24,-2.764,0.0302,4.655,1.959,267,car,-14.241,-5.427,-0.071,-0.54,15.239,0.213,0.265,-0.475
813.8,129.697,-46.67,5.062,-1.717,-0.0086,4.692,1.843,266,car,-0.678,-5.017,0.093,1.798,5.062,-0.06,-1.792,0.17,150.443,-49.854,15.252,-2.762,0.0304,4.655,1.959,267,car,-14.246,-5.449,-0.064,-0.542,15.251,0.215,0.26,-0.48
813.84,129.671,-46.869,4.985,-1.717,-0.0102,4.692,1.843,266,car,-0.672,-4.939,0.05,1.769,4.985,-0.056,-1.758,0.209,149.873,-50.072,15.264,-2.761,0.0305,4.655,1.959,267,car,-14.25,-5.472,-0.056,-0.543,15.263,0.214,0.253,-0.483
813.88,129.649,-47.064,4.909,-1.718,-0.0118,4.692,1.843,266,car,-0.67,-4.863,0.006,1.735,4.909,-0.048,-1.717,0.248,149.302,-50.291,15.276,-2.76,0.0306,4.655,1.959,267,car,-14.253,-5.495,-0.046,-0.543,15.274,0.213,0.245,-0.487
813.92,129.627,-47.257,4.836,-1.718,-0.0137,4.692,1.843,266,car,-0.672,-4.789,-0.037,1.695,4.835,-0.036,-1.672,0.285,148.73,-50.511,15.286,-2.758,0.0306,4.655,1.959,267,car,-14.255,-5.518,-0.036,-0.541,15.284,0.212,0.236,-0.489
813.96,129.603,-47.446,4.764,-1.718,-0.0158,4.692,1.843,266,car,-0.676,-4.716,-0.078,1.651,4.764,-0.022,-1.622,0.319,148.159,-50.732,15.296,-2.757,0.0307,4.655,1.959,267,car,-14.257,-5.541,-0.025,-0.539,15.294,0.212,0.225,-0.49
814,129.577,-47.632,4.696,-1.718,-0.0182,4.692,1.843,266,car,-0.683,-4.646,-0.115,1.602,4.696,-0.006,-1.567,0.349,147.588,-50.954,15.304,-2.756,0.0307,4.655,1.959,267,car,-14.257,-5.564,-0.015,-0.534,15.303,0.209,0.215,-0.489
814.04,129.548,-47.816,4.63,-1.719,-0.021,4.692,1.843,266,car,-0.691,-4.578,-0.149,1.548,4.629,0.009,-1.51,0.375,147.016,-51.177,15.313,-2.755,0.0308,4.655,1.959,267,car,-14.257,-5.587,-0.005,-0.529,15.311,0.203,0.204,-0.488
814.08,129.519,-47.997,4.566,-1.719,-0.0241,4.692,1.843,266,car,-0.699,-4.512,-0.18,1.491,4.566,0.024,-1.448,0.399,146.446,-51.401,15.32,-2.754,0.031,4.655,1.959,267,car,-14.256,-5.609,0.003,-0.521,15.319,0.197,0.194,-0.484
814.12,129.487,-48.173,4.506,-1.72,-0.0276,4.692,1.843,266,car,-0.707,-4.45,-0.21,1.432,4.506,0.038,-1.384,0.42,145.876,-51.626,15.328,-2.753,0.0311,4.655,1.959,267,car,-14.256,-5.632,0.011,-0.513,15.326,0.194,0.184,-0.479
814.16,129.456,-48.347,4.45,-1.721,-0.0315,4.692,1.843,266,car,-0.715,-4.392,-0.24,1.37,4.45,0.052,-1.319,0.441,145.306,-51.852,15.335,-2.752,0.0313,4.655,1.959,267,car,-14.254,-5.653,0.019,-0.503,15.333,0.19,0.174,-0.473
814.2,129.427,-48.517,4.398,-1.722,-0.0358,4.692,1.843,266,car,-0.725,-4.338,-0.269,1.308,4.398,0.064,-1.253,0.463,144.735,-52.078,15.341,-2.75,0.0313,4.655,1.959,267,car,-14.253,-5.675,0.025,-0.492,15.34,0.192,0.164,-0.464
814.24,129.4,-48.684,4.351,-1.723,-0.0407,4.692,1.843,266,car,-0.736,-4.289,-0.299,1.249,4.351,0.078,-1.189,0.484,144.164,-52.307,15.346,-2.748,0.031,4.655,1.959,267,car,-14.25,-5.696,0.031,-0.48,15.345,0.2,0.156,-0.455
814.28,129.374,-48.854,4.308,-1.724,-0.0461,4.692,1.843,266,car,-0.75,-4.242,-0.327,1.192,4.307,0.096,-1.128,0.504,143.594,-52.535,15.352,-2.747,0.0304,4.655,1.959,267,car,-14.248,-5.716,0.035,-0.467,15.35,0.208,0.148,-0.444
814.32,129.345,-49.023,4.266,-1.724,-0.0523,4.692,1.843,266,car,-0.765,-4.197,-0.353,1.139,4.265,0.114,-1.071,0.523,143.025,-52.765,15.357,-2.745,0.0296,4.655,1.959,267,car,-14.246,-5.735,0.038,-0.453,15.355,0.218,0.14,-0.432
814.36,129.314,-49.193,4.227,-1.726,-0.059,4.692,1.843,266,car,-0.782,-4.154,-0.376,1.087,4.225,0.131,-1.016,0.54,142.456,-52.995,15.362,-2.743,0.0284,4.655,1.959,267,car,-14.243,-5.753,0.04,-0.438,15.36,0.23,0.134,-0.419
814.4,129.28,-49.361,4.188,-1.728,-0.0663,4.692,1.843,266,car,-0.799,-4.111,-0.398,1.038,4.185,0.145,-0.963,0.555,141.887,-53.227,15.366,-2.741,0.0269,4.655,1.959,267,car,-14.241,-5.771,0.041,-0.424,15.364,0.236,0.127,-0.406
814.44,129.245,-49.527,4.15,-1.731,-0.074,4.692,1.843,266,car,-0.815,-4.069,-0.418,0.988,4.147,0.157,-0.909,0.57,141.317,-53.459,15.37,-2.74,0.0255,4.655,1.959,267,car,-14.239,-5.787,0.043,-0.41,15.369,0.236,0.121,-0.394
814.48,129.212,-49.69,4.114,-1.733,-0.0821,4.692,1.843,266,car,-0.832,-4.029,-0.438,0.938,4.111,0.169,-0.855,0.584,140.749,-53.693,15.374,-2.74,0.0241,4.655,1.959,267,car,-14.238,-5.802,0.044,-0.397,15.373,0.231,0.115,-0.382
814.52,129.175,-49.851,4.08,-1.737,-0.0905,4.692,1.843,266,car,-0.849,-3.991,-0.458,0.888,4.076,0.178,-0.8,0.598,140.18,-53.927,15.378,-2.739,0.0232,4.655,1.959,267,car,-14.236,-5.816,0.045,-0.385,15.376,0.221,0.11,-0.372
814.56,129.139,-50.01,4.048,-1.74,-0.099,4.692,1.843,266,car,-0.866,-3.954,-0.479,0.836,4.044,0.186,-0.744,0.614,139.611,-54.162,15.382,-2.74,0.0227,4.655,1.959,267,car,-14.235,-5.828,0.046,-0.376,15.38,0.197,0.104,-0.364
814.6,129.103,-50.168,4.018,-1.744,-0.1078,4.692,1.843,266,car,-0.883,-3.92,-0.502,0.784,4.013,0.193,-0.685,0.63,139.042,-54.396,15.385,-2.741,0.0226,4.655,1.959,267,car,-14.233,-5.841,0.048,-0.37,15.384,0.177,0.1,-0.36
814.64,129.066,-50.325,3.99,-1.749,-0.1165,4.692,1.843,266,car,-0.901,-3.887,-0.528,0.73,3.985,0.198,-0.625,0.648,138.472,-54.629,15.388,-2.74,0.0228,4.655,1.959,267,car,-14.232,-5.853,0.05,-0.367,15.387,0.177,0.097,-0.357
814.68,129.029,-50.481,3.964,-1.754,-0.1253,4.692,1.843,266,car,-0.919,-3.856,-0.555,0.674,3.958,0.202,-0.562,0.669,137.903,-54.862,15.391,-2.739,0.0231,4.655,1.959,267,car,-14.23,-5.865,0.053,-0.366,15.39,0.184,0.095,-0.358
814.72,128.991,-50.635,3.94,-1.759,-0.1339,4.692,1.843,266,car,-0.938,-3.826,-0.586,0.617,3.935,0.205,-0.496,0.691,137.333,-55.095,15.395,-2.737,0.0233,4.655,1.959,267,car,-14.228,-5.878,0.056,-0.367,15.393,0.198,0.093,-0.359
814.76,128.953,-50.788,3.919,-1.765,-0.1425,4.692,1.843,266,car,-0.959,-3.8,-0.619,0.557,3.913,0.208,-0.427,0.715,136.764,-55.331,15.398,-2.735,0.0231,4.655,1.959,267,car,-14.226,-5.892,0.059,-0.369,15.396,0.214,0.092,-0.363
814.8,128.914,-50.939,3.9,-1.771,-0.1509,4.692,1.843,266,car,-0.98,-3.775,-0.656,0.495,3.895,0.21,-0.354,0.741,136.195,-55.568,15.401,-2.733,0.0226,4.655,1.959,267,car,-14.224,-5.904,0.062,-0.374,15.399,0.231,0.091,-0.368
814.84,128.875,-51.09,3.886,-1.777,-0.1593,4.692,1.843,266,car,-1.004,-3.754,-0.695,0.431,3.88,0.212,-0.279,0.769,135.626,-55.806,15.403,-2.732,0.0217,4.655,1.959,267,car,-14.222,-5.917,0.066,-0.38,15.401,0.243,0.091,-0.375
814.88,128.834,-51.239,3.874,-1.784,-0.1674,4.692,1.843,266,car,-1.029,-3.735,-0.738,0.365,3.868,0.214,-0.2,0.798,135.057,-56.044,15.405,-2.73,0.0207,4.655,1.959,267,car,-14.219,-5.929,0.069,-0.389,15.403,0.248,0.092,-0.385
814.92,128.793,-51.387,3.865,-1.791,-0.1755,4.692,1.843,266,car,-1.056,-3.719,-0.783,0.297,3.859,0.217,-0.119,0.829,134.487,-56.281,15.407,-2.73,0.0196,4.655,1.959,267,car,-14.216,-5.941,0.073,-0.402,15.405,0.243,0.094,-0.397
814.96,128.75,-51.534,3.861,-1.798,-0.1833,4.692,1.843,266,car,-1.084,-3.706,-0.831,0.229,3.855,0.22,-0.036,0.861,133.918,-56.518,15.409,-2.73,0.0188,4.655,1.959,267,car,-14.212,-5.955,0.075,-0.417,15.408,0.229,0.098,-0.412
815,128.705,-51.681,3.86,-1.806,-0.1909,4.692,1.843,266,car,-1.114,-3.696,-0.881,0.16,3.854,0.222,0.05,0.894,133.349,-56.755,15.411,-2.73,0.0184,4.655,1.959,267,car,-14.208,-5.97,0.077,-0.434,15.41,0.209,0.103,-0.429
815.04,128.658,-51.826,3.864,-1.814,-0.1983,4.692,1.843,266,car,-1.146,-3.691,-0.936,0.091,3.858,0.223,0.138,0.93,132.78,-56.992,15.414,-2.73,0.0183,4.655,1.959,267,car,-14.204,-5.986,0.078,-0.452,15.412,0.188,0.109,-0.446
815.08,128.611,-51.971,3.872,-1.823,-0.2055,4.692,1.843,266,car,-1.179,-3.689,-0.994,0.023,3.866,0.223,0.226,0.968,132.211,-57.23,15.416,-2.73,0.0187,4.655,1.959,267,car,-14.199,-6.004,0.077,-0.472,15.415,0.17,0.118,-0.463
815.12,128.564,-52.117,3.885,-1.831,-0.2125,4.692,1.843,266,car,-1.215,-3.69,-1.056,-0.043,3.879,0.224,0.314,1.01,131.643,-57.468,15.419,-2.73,0.0194,4.655,1.959,267,car,-14.194,-6.024,0.075,-0.491,15.419,0.161,0.128,-0.48
815.16,128.514,-52.263,3.902,-1.84,-0.2193,4.692,1.843,266,car,-1.253,-3.695,-1.122,-0.106,3.895,0.225,0.401,1.053,131.075,-57.708,15.423,-2.729,0.0203,4.655,1.959,267,car,-14.189,-6.045,0.071,-0.509,15.422,0.157,0.139,-0.494
815.2,128.464,-52.408,3.923,-1.849,-0.226,4.692,1.843,266,car,-1.295,-3.703,-1.192,-0.165,3.917,0.228,0.486,1.1,130.51,-57.948,15.429,-2.728,0.0213,4.655,1.959,267,car,-14.186,-6.067,0.065,-0.525,15.428,0.151,0.151,-0.507
815.24,128.413,-52.554,3.949,-1.858,-0.2327,4.692,1.843,266,car,-1.34,-3.715,-1.264,-0.22,3.942,0.233,0.569,1.15,129.945,-58.189,15.436,-2.727,0.0222,4.655,1.959,267,car,-14.183,-6.091,0.059,-0.538,15.435,0.144,0.163,-0.517
815.28,128.362,-52.703,3.979,-1.867,-0.2394,4.692,1.843,266,car,-1.389,-3.729,-1.338,-0.27,3.972,0.239,0.649,1.201,129.379,-58.433,15.444,-2.726,0.023,4.655,1.959,267,car,-14.181,-6.116,0.054,-0.549,15.443,0.137,0.173,-0.524
815.32,128.305,-52.85,4.013,-1.877,-0.2461,4.692,1.843,266,car,-1.442,-3.746,-1.414,-0.314,4.006,0.246,0.726,1.254,128.812,-58.678,15.452,-2.724,0.0237,4.655,1.959,267,car,-14.18,-6.141,0.049,-0.557,15.452,0.133,0.181,-0.529
815.36,128.247,-52.999,4.051,-1.887,-0.2528,4.692,1.843,266,car,-1.497,-3.764,-1.491,-0.352,4.043,0.253,0.798,1.308,128.246,-58.925,15.462,-2.723,0.0241,4.655,1.959,267,car,-14.179,-6.166,0.045,-0.561,15.461,0.124,0.187,-0.531
815.4,128.188,-53.15,4.092,-1.897,-0.2595,4.692,1.843,266,car,-1.556,-3.785,-1.568,-0.384,4.084,0.261,0.867,1.363,127.679,-59.172,15.471,-2.722,0.0244,4.655,1.959,267,car,-14.179,-6.191,0.042,-0.564,15.471,0.117,0.191,-0.532
815.44,128.127,-53.302,4.137,-1.907,-0.2662,4.692,1.843,266,car,-1.62,-3.807,-1.646,-0.41,4.128,0.272,0.93,1.418,127.112,-59.421,15.481,-2.721,0.0246,4.655,1.959,267,car,-14.178,-6.216,0.041,-0.563,15.48,0.11,0.192,-0.531
